Title,Author,Run Time
80. The Ballad of Songbirds and Snakes,By: Suzanne Collins,Length: 16 hrs and 16 mins
81. A Little Life,By: Hanya Yanagihara,Length: 32 hrs and 51 mins
82. The Last Wish,By: Andrzej Sapkowski,Length: 10 hrs and 17 mins
83. The 7 Habits of Highly Effective People,By: Stephen R. Covey,Length: 13 hrs and 4 mins
84. The Way of Kings,By: Brandon Sanderson,Length: 45 hrs and 30 mins
85. Shift,By: Hugh Howey,Length: 14 hrs and 35 mins
86. The Power of Now,By: Eckhart Tolle,Length: 7 hrs and 37 mins
87. The Measure,By: Nikki Erlick,Length: 10 hrs and 57 mins
88. The Simple Path to Wealth,By: JL Collins,Length: 6 hrs and 38 mins
89. Hunting Adeline,By: H. D. Carlton,Length: 17 hrs and 24 mins
90. The Perfect Marriage,By: Jeneva Rose,Length: 8 hrs and 52 mins
91. It’s Not Summer Without You,By: Jenny Han,Length: 6 hrs and 7 mins
92. The Nightingale,By: Kristin Hannah,Length: 17 hrs and 19 mins
93. A Court of Frost and Starlight,By: Sarah J. Maas,Length: 6 hrs and 23 mins
94. Finding Me,By: Viola Davis,Length: 9 hrs and 15 mins
95. Good Omens,"By: Neil Gaiman, Terry Pratchett",Length: 12 hrs and 14 mins
96. Heir of Fire,By: Sarah J. Maas,Length: 17 hrs and 56 mins
97. The Alchemist,By: Paulo Coelho,Length: 4 hrs
98. Crown of Midnight,By: Sarah J. Maas,Length: 12 hrs and 43 mins
99. The Silmarillion,"By: J. R. R. Tolkien, Christopher Tolkien",Length: 19 hrs and 24 mins
100. Never Lie,By: Freida McFadden,Length: 7 hrs and 21 mins
